Account ,Current Services,PPC Upsold,Upsold Date,SEO Upsold,Upsold Date,CRO Upsold,Upsold Date,Strategy Upsold,Upsold Date,Feed Management Upsold,Upsold Date,Email Marketing Upsold,Upsold Date
Abbvie,"Adwords, Bing",TRUE,Active,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,,FALSE,
Abbvie,Adwords,TRUE,Active,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,,FALSE,
Abbvie,"Adwords, Bing",TRUE,Active,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,,FALSE,
ACCEO,"Adwords, Bing",TRUE,Active,TRUE,Pitched 2019,FALSE,,FALSE,,FALSE,,FALSE,
Accor Hotels,"Adwords, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Agropur,"Adwords, Facebook",TRUE,Active,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,,FALSE,
Agropur,,TRUE,Active,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,,FALSE,
Agropur,,TRUE,Active,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,,FALSE,
Agropur,,TRUE,Active,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,,FALSE,
Agropur,"Adwords, Facebook",TRUE,Active,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,,FALSE,
Agropur,Adwords,TRUE,Active,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,,FALSE,
AIR Liquide,"Adwords, Bing",TRUE,Active,TRUE,Active,TRUE,Active,FALSE,,FALSE,,FALSE,
All Languages LTD,"Adwords, Bing",TRUE,Active,TRUE,,FALSE,,FALSE,,FALSE,,TRUE,
Archambault,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Arthur Murray,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
AVRO Academy,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Bain Depot,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Mandate 2018,FALSE,,FALSE,,FALSE,,FALSE,
Barrymore Furniture,"Adwords, Bing",TRUE,Active,FALSE,,TRUE,Active,FALSE,,FALSE,,FALSE,
Bartendo,Adwords,TRUE,Active,TRUE,Active ,TRUE,Active,FALSE,,FALSE,,FALSE,
Baton Simulation Inc.,,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Broadsign,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Pitched 2019,FALSE,,FALSE,,FALSE,,FALSE,
Broccolini,"Adwords, Facebook, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,
Broccolini,"Adwords, Facebook, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,
Broccolini,"Adwords, Facebook, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,
Canada Luggage Depot,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Pitched 2018,FALSE,,FALSE,,FALSE,,FALSE,
Cascades Pro,"Adwords, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Centre Dentaire Lapointe,Adwords,TRUE,Active,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
Centre Mattawin,Adwords,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Chlorophylle,"Adwords, Facebook, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Classic Lifecare,,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Clinique Dr Bochi Podiatre,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
Clément,,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
College Ahuntsic,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Contact Monkey,"Adwords, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
CookIt,"Adwords, Facebook",TRUE,Active,TRUE,10-16-2018,TRUE,10-16-2018,FALSE,,FALSE,,FALSE,
Crossroads International,,TRUE,Active,TRUE,Active ,FALSE,,FALSE,,FALSE,,FALSE,
Cypress,"Adwords, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Cypress,"Adwords, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Cypress,"Adwords, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
DriveWyze,"Adwords, Bing",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
EAU 3,Adwords,TRUE,Active,TRUE,Mandate 2019,FALSE,,FALSE,,FALSE,,FALSE,
Elite Editing,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Endur Apparel,"Adwords, Facebook",TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Ernest,Adwords,TRUE,Active,TRUE,10-08-2018,FALSE,,FALSE,,FALSE,,FALSE,
Eurcan Tile,,TRUE,Active,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Evolocity Financial Group,"Adwords, Facebook, Bing",TRUE,Active,TRUE,Active ,TRUE,Active,FALSE,,FALSE,,FALSE,
